participant_id,condition,trial_order,arousal,valence,identification,confidence
P01,stress,1,5,3,stress,2
P01,relax,2,2,6,relax,1
P01,stress,3,7,1,stress,2
P01,relax,4,1,8,relax,2
P01,stress,5,9,3,stress,4
P01,relax,6,2,5,relax,2
P01,stress,7,5,2,stress,2
P01,relax,8,3,7,stress,1
P02,stress,1,7,5,relax,1
P02,stress,2,5,2,stress,4
P02,relax,3,1,6,relax,3
P02,stress,4,8,2,relax,3
P02,relax,5,2,8,stress,1
P02,relax,6,2,7,relax,4
P02,relax,7,3,6,stress,3
P02,stress,8,7,3,stress,4
P03,relax,1,1,7,relax,4
P03,stress,2,8,5,stress,2
P03,relax,3,2,5,relax,3
P03,stress,4,8,2,relax,2
P03,relax,5,4,5,stress,1
P03,stress,6,9,1,stress,2
P03,relax,7,4,6,stress,1
P03,stress,8,6,2,stress,3
P04,stress,1,6,3,relax,1
P04,relax,2,1,8,relax,5
P04,relax,3,3,6,relax,2
P04,stress,4,6,4,stress,3
P04,relax,5,1,8,relax,4
P04,stress,6,8,1,stress,3
P04,stress,7,5,4,stress,3
P04,relax,8,2,5,relax,3
P05,relax,1,4,7,relax,2
P05,stress,2,6,1,relax,2
P05,relax,3,2,9,stress,1
P05,stress,4,7,4,stress,3
P05,relax,5,3,6,stress,2
P05,stress,6,8,3,stress,3
P05,relax,7,3,4,stress,1
P05,stress,8,6,2,relax,2
P06,relax,1,2,5,relax,4
P06,stress,2,5,3,stress,4
P06,relax,3,1,6,relax,2
P06,stress,4,8,1,stress,3
P06,stress,5,8,3,relax,5
P06,stress,6,7,2,stress,5
P06,relax,7,3,6,relax,3
P06,relax,8,4,6,relax,2
P07,stress,1,8,2,stress,4
P07,relax,2,3,7,stress,5
P07,stress,3,9,4,relax,2
P07,relax,4,2,5,relax,2
P07,relax,5,2,5,relax,1
P07,stress,6,7,2,stress,4
P07,relax,7,4,6,relax,3
P07,stress,8,5,3,stress,2
P08,stress,1,5,1,stress,2
P08,relax,2,3,6,relax,2
P08,relax,3,2,6,relax,3
P08,stress,4,7,2,stress,2
P08,relax,5,2,9,stress,1
P08,stress,6,6,4,stress,3
P08,stress,7,9,2,stress,2
P08,relax,8,3,6,relax,3
P09,stress,1,5,1,stress,1
P09,stress,2,8,5,stress,2
P09,stress,3,7,3,relax,1
P09,relax,4,3,5,relax,4
P09,stress,5,8,5,stress,2
P09,relax,6,3,5,stress,1
P09,relax,7,1,4,stress,1
P09,relax,8,4,5,stress,3
P10,relax,1,5,6,relax,2
P10,stress,2,9,1,stress,3
P10,stress,3,5,1,stress,4
P10,relax,4,5,9,relax,3
P10,stress,5,8,3,relax,3
P10,stress,6,7,2,stress,1
P10,relax,7,2,4,stress,2
P10,relax,8,1,6,stress,2
P11,relax,1,3,8,relax,4
P11,stress,2,8,2,stress,4
P11,stress,3,7,2,stress,5
P11,relax,4,4,4,stress,1
P11,stress,5,7,3,relax,2
P11,relax,6,4,5,stress,2
P11,stress,7,9,2,stress,3
P11,relax,8,3,6,relax,4
P12,stress,1,6,4,stress,3
P12,stress,2,9,3,stress,3
P12,relax,3,4,9,relax,4
P12,relax,4,2,5,stress,1
P12,relax,5,2,8,relax,1
P12,stress,6,6,5,stress,3
P12,relax,7,3,6,stress,1
P12,stress,8,7,1,stress,3
